index,Player,RECEIVING REC,RECEIVING YDS,RECEIVING TDS,MISC FL,MISC FPTS,Position,PASSING ATT,PASSING CMP,PASSING YDS,PASSING TDS,PASSING INTS,RUSHING ATT,RUSHING YDS,RUSHING TDS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS,FG,FGA,XPT
78,Jakeem Grant,2.6,30.9,0.1,0.0,6.3,wr,,,,,,0.5,2.8,0.0,,,,,,,,,6.3,,,
79,Adam Humphries,2.6,28.8,0.1,0.0,6.0,wr,,,,,,0.3,1.5,0.0,,,,,,,,,6.0,,,
80,Ryan Switzer,2.7,24.9,0.1,0.0,6.0,wr,,,,,,0.3,1.7,0.0,,,,,,,,,6.0,,,
81,Keke Coutee,2.2,28.5,0.1,0.0,5.8,wr,,,,,,0.1,0.2,0.0,,,,,,,,,5.8,,,
82,Zay Jones,1.9,29.0,0.1,0.0,5.7,wr,,,,,,0.1,0.8,0.0,,,,,,,,,5.7,,,
83,Rashard Higgins,2.0,32.8,0.1,0.1,5.7,wr,,,,,,0.0,0.1,0.0,,,,,,,,,5.7,,,
84,Dontrelle Inman,2.1,26.7,0.1,0.0,5.6,wr,,,,,,0.0,0.0,0.0,,,,,,,,,5.6,,,
85,KeeSean Johnson,2.2,30.3,0.1,0.0,5.6,wr,,,,,,0.1,0.4,0.0,,,,,,,,,5.6,,,
86,Jarius Wright,2.2,25.4,0.1,0.0,5.4,wr,,,,,,0.1,0.9,0.0,,,,,,,,,5.4,,,
87,Josh Bellamy,2.2,27.5,0.1,0.0,5.4,wr,,,,,,0.0,0.2,0.0,,,,,,,,,5.4,,,
88,DaeSean Hamilton,2.1,28.4,0.1,0.0,5.3,wr,,,,,,0.0,0.1,0.0,,,,,,,,,5.3,,,
89,Jaron Brown,1.9,25.4,0.1,0.0,5.3,wr,,,,,,0.1,0.3,0.0,,,,,,,,,5.3,,,
90,Travis Benjamin,1.8,27.3,0.1,0.0,5.3,wr,,,,,,0.5,2.4,0.0,,,,,,,,,5.3,,,
91,Richie James,1.9,25.7,0.1,0.0,5.2,wr,,,,,,0.0,0.1,0.0,,,,,,,,,5.2,,,
92,Chad Beebe,1.8,26.9,0.1,0.0,5.1,wr,,,,,,0.0,0.2,0.0,,,,,,,,,5.1,,,
93,Damion Willis,2.1,26.7,0.1,0.0,5.0,wr,,,,,,0.0,0.1,0.0,,,,,,,,,5.0,,,
94,Chester Rogers,1.9,23.1,0.1,0.0,4.8,wr,,,,,,0.0,0.0,0.0,,,,,,,,,4.8,,,
95,Michael Crabtree,1.7,22.9,0.1,0.0,4.7,wr,,,,,,0.0,0.0,0.0,,,,,,,,,4.7,,,
96,Allen Hurns,1.9,23.5,0.1,0.0,4.7,wr,,,,,,0.0,0.3,0.0,,,,,,,,,4.7,,,
97,Parris Campbell,1.7,23.8,0.1,0.0,4.7,wr,,,,,,0.1,0.8,0.0,,,,,,,,,4.7,,,
98,Dante Pettis,1.4,24.0,0.1,0.0,4.5,wr,,,,,,0.1,0.3,0.0,,,,,,,,,4.5,,,
99,Anthony Miller,1.3,19.7,0.2,0.0,4.4,wr,,,,,,0.3,1.7,0.0,,,,,,,,,4.4,,,
100,Miles Boykin,1.5,23.8,0.1,0.0,4.4,wr,,,,,,0.0,0.3,0.0,,,,,,,,,4.4,,,
101,Kendrick Bourne,1.7,20.4,0.1,0.0,4.3,wr,,,,,,0.0,0.0,0.0,,,,,,,,,4.3,,,
102,Damion Ratley,1.6,21.0,0.1,0.0,4.2,wr,,,,,,0.0,0.1,0.0,,,,,,,,,4.2,,,
103,Deon Cain,1.5,23.5,0.1,0.0,4.2,wr,,,,,,0.1,0.4,0.0,,,,,,,,,4.2,,,
104,Cordarrelle Patterson,1.0,13.1,0.1,0.0,3.9,wr,,,,,,1.5,9.9,0.0,,,,,,,,,3.9,,,
105,Justin Hardy,1.6,17.7,0.1,0.0,3.8,wr,,,,,,0.0,0.0,0.0,,,,,,,,,3.8,,,
106,Isaiah McKenzie,1.3,15.6,0.1,0.1,3.8,wr,,,,,,0.5,3.3,0.1,,,,,,,,,3.8,,,
107,Tajae Sharpe,1.4,19.4,0.1,0.0,3.8,wr,,,,,,0.1,0.8,0.0,,,,,,,,,3.8,,,
108,Marqise Lee,1.5,19.2,0.0,0.0,3.7,wr,,,,,,0.1,0.7,0.0,,,,,,,,,3.7,,,
109,Robert Foster,0.9,23.1,0.1,0.0,3.7,wr,,,,,,0.1,0.4,0.0,,,,,,,,,3.7,,,
110,Malik Turner,1.4,19.8,0.0,0.0,3.7,wr,,,,,,0.0,0.1,0.0,,,,,,,,,3.7,,,
111,Josh Reynolds,1.1,20.0,0.1,0.0,3.6,wr,,,,,,0.1,0.7,0.0,,,,,,,,,3.6,,,
112,Taywan Taylor,1.5,16.4,0.1,0.0,3.6,wr,,,,,,0.0,0.1,0.0,,,,,,,,,3.6,,,
113,TJ Jones,1.1,18.3,0.1,0.0,3.5,wr,,,,,,0.0,0.3,0.0,,,,,,,,,3.5,,,
114,J.J. Nelson,1.3,18.1,0.1,0.0,3.4,wr,,,,,,0.1,0.6,0.0,,,,,,,,,3.4,,,
115,Deonte Harris,1.7,14.5,0.0,0.0,3.4,wr,,,,,,0.0,0.1,0.0,,,,,,,,,3.4,,,
